source_record_id,function_code,function_name,tool_product,vendor,classification,canonical_capability_pattern,deep_anchor_products,architecture_treatment,status,verified_date
MTR-0094,F10,"Demand, Supply Chain & Logistics",Körber,Körber,ALTERNATIVE_PRODUCT_PATTERN,Warehouse / logistics execution,SAP Integrated Business Planning / EWM / TM,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0095,F10,"Demand, Supply Chain & Logistics",Descartes,Descartes,ALTERNATIVE_PRODUCT_PATTERN,Transportation / logistics / distribution / trade execution,SAP Integrated Business Planning / EWM / TM,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0096,F10,"Demand, Supply Chain & Logistics",e2open,e2open,ALTERNATIVE_PRODUCT_PATTERN,Supply-chain planning / network / logistics / order orchestration,SAP Integrated Business Planning / EWM / TM; Kinaxis RapidResponse / Maestro,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0097,F11,Manufacturing / Production Operations,SAP Digital Manufacturing,SAP,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,SAP Digital Manufacturing,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0098,F11,Manufacturing / Production Operations,Siemens Opcenter,Siemens,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Siemens Opcenter,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0099,F11,Manufacturing / Production Operations,Oracle Manufacturing,Oracle,ALTERNATIVE_PRODUCT_PATTERN,Manufacturing execution / production / material / resource control,SAP Digital Manufacturing; Siemens Opcenter,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0100,F11,Manufacturing / Production Operations,Microsoft Dynamics 365 Supply Chain Management,Microsoft,ALTERNATIVE_PRODUCT_PATTERN,Manufacturing execution / production / material / resource control,SAP Digital Manufacturing; Siemens Opcenter,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0101,F11,Manufacturing / Production Operations,Dassault Systèmes DELMIA,Dassault Systèmes,ALTERNATIVE_PRODUCT_PATTERN,Manufacturing operations / execution / work instructions / traceability,Siemens Opcenter; Tulip,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0102,F11,Manufacturing / Production Operations,Rockwell Automation Plex / FactoryTalk,Rockwell Automation,ALTERNATIVE_PRODUCT_PATTERN,MES / connected manufacturing / production execution,SAP Digital Manufacturing; Siemens Opcenter; Tulip,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0103,F11,Manufacturing / Production Operations,Epicor,Epicor,ALTERNATIVE_PRODUCT_PATTERN,ERP-connected manufacturing / production / material / costing operations,SAP Digital Manufacturing; Siemens Opcenter,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0104,F11,Manufacturing / Production Operations,Infor,Infor,ALTERNATIVE_PRODUCT_PATTERN,ERP-connected manufacturing / production / material / scheduling operations,SAP Digital Manufacturing; Siemens Opcenter,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0105,F11,Manufacturing / Production Operations,Tulip,Tulip,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Tulip,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0106,F11,Manufacturing / Production Operations,Tekla PowerFab,Trimble,ALTERNATIVE_PRODUCT_PATTERN,Steel-fabrication estimating / production control / inventory / purchasing / shipping,Siemens Opcenter; Tulip; existing CBE Tekla PowerFab deep benchmark,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0107,F12,Service Delivery & Field Operations,IFS Cloud,IFS,ALTERNATIVE_PRODUCT_PATTERN,Enterprise field service / scheduling / mobile execution / asset-service operations,Salesforce Field Service; ServiceNow Field Service Management,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0108,F12,Service Delivery & Field Operations,Salesforce Field Service,Salesforce,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Salesforce Field Service,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0109,F12,Service Delivery & Field Operations,Microsoft Dynamics 365 Field Service,Microsoft,ALTERNATIVE_PRODUCT_PATTERN,Work orders / scheduling / dispatch / mobile / assets / inventory,Salesforce Field Service; ServiceNow Field Service Management,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0110,F12,Service Delivery & Field Operations,ServiceNow Field Service Management,ServiceNow,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,ServiceNow Field Service Management,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0111,F12,Service Delivery & Field Operations,Oracle Field Service,Oracle,ALTERNATIVE_PRODUCT_PATTERN,Field-service scheduling / dispatch / mobile workforce execution,Salesforce Field Service; ServiceNow Field Service Management,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0112,F12,Service Delivery & Field Operations,PTC ServiceMax,PTC,ALTERNATIVE_PRODUCT_PATTERN,Asset-centric field service / work orders / mobile / installed-product service,Salesforce Field Service; ServiceNow Field Service Management,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0113,F12,Service Delivery & Field Operations,IBM Maximo,IBM,ALTERNATIVE_PRODUCT_PATTERN,Asset-centric maintenance / work orders / field execution,ServiceNow Field Service Management; existing CBE IBM Maximo deep benchmark,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0114,F12,Service Delivery & Field Operations,SAP Field Service Management,SAP,ALTERNATIVE_PRODUCT_PATTERN,Field-service scheduling / dispatch / mobile execution,Salesforce Field Service; ServiceNow Field Service Management; existing CBE SAP FSM deep benchmark,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0115,F12,Service Delivery & Field Operations,Skedulo,Skedulo,ALTERNATIVE_PRODUCT_PATTERN,Mobile workforce scheduling / dispatch / field execution,Salesforce Field Service; ServiceNow Field Service Management,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0116,F12,Service Delivery & Field Operations,Simpro,Simpro,ALTERNATIVE_PRODUCT_PATTERN,Trade field-service / quote-to-job / scheduling / mobile / invoice,Salesforce Field Service; existing CBE simPRO deep benchmark,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0117,F13,Quality Management,ETQ Reliance,ETQ,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,ETQ Reliance,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0118,F13,Quality Management,MasterControl,MasterControl,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,MasterControl,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0119,F13,Quality Management,Ideagen Quality Management,Ideagen,ALTERNATIVE_PRODUCT_PATTERN,Enterprise QMS / documents / audits / CAPA / risk / supplier quality,ETQ Reliance; MasterControl,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0120,F13,Quality Management,Intelex Quality Management,Intelex,ALTERNATIVE_PRODUCT_PATTERN,Enterprise QMS / quality events / audits / CAPA / supplier quality,ETQ Reliance; MasterControl,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0121,F13,Quality Management,TrackWise Digital,Honeywell,ALTERNATIVE_PRODUCT_PATTERN,Regulated enterprise eQMS / quality events / CAPA / audit / document control,ETQ Reliance; MasterControl,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0122,F13,Quality Management,SAP Quality Management,SAP,ALTERNATIVE_PRODUCT_PATTERN,ERP-integrated inspections / quality lots / nonconformance / quality control,ETQ Reliance; SAP Digital Manufacturing,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0123,F13,Quality Management,Oracle Quality Management,Oracle,ALTERNATIVE_PRODUCT_PATTERN,ERP/SCM-integrated quality inspection / issue / action control,ETQ Reliance; MasterControl,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0124,F13,Quality Management,Siemens Teamcenter Quality,Siemens,ALTERNATIVE_PRODUCT_PATTERN,PLM-integrated quality planning / issue / compliance control,ETQ Reliance; MasterControl,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0125,F13,Quality Management,Procore Quality & Safety,Procore,ALTERNATIVE_PRODUCT_PATTERN,Construction field inspections / observations / quality actions,ETQ Reliance; existing CBE Procore deep benchmark,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0126,F13,Quality Management,Autodesk Build,Autodesk,ALTERNATIVE_PRODUCT_PATTERN,Construction forms / issues / inspections / field quality evidence,ETQ Reliance; existing CBE Autodesk Build deep benchmark,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0127,F13,Quality Management,Trimble Field View,Trimble,ALTERNATIVE_PRODUCT_PATTERN,Construction field quality / inspection / snagging evidence,ETQ Reliance; existing CBE field-quality patterns,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0128,F13,Quality Management,Dalux Field,Dalux,ALTERNATIVE_PRODUCT_PATTERN,Construction field quality / checklists / tasks / BIM-linked inspection,ETQ Reliance; existing CBE Dalux Field deep benchmark,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0129,F14,"Finance, Accounting, Treasury & Tax",SAP Cloud ERP,SAP,ALTERNATIVE_PRODUCT_PATTERN,Core financial accounting / AP / AR / assets / cash / tax / close,Oracle Fusion Cloud Financials,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0130,F14,"Finance, Accounting, Treasury & Tax",Oracle Fusion Cloud Financials,Oracle,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Oracle Fusion Cloud Financials,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0131,F14,"Finance, Accounting, Treasury & Tax",Microsoft Dynamics 365 Finance,Microsoft,ALTERNATIVE_PRODUCT_PATTERN,Core financial accounting / AP / AR / assets / cash / tax / close,Oracle Fusion Cloud Financials,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0132,F14,"Finance, Accounting, Treasury & Tax",Workday Financial Management,Workday,ALTERNATIVE_PRODUCT_PATTERN,Core financial accounting / AP / AR / assets / close / reporting,Oracle Fusion Cloud Financials,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0133,F14,"Finance, Accounting, Treasury & Tax",Oracle NetSuite,Oracle,ALTERNATIVE_PRODUCT_PATTERN,Core cloud financial accounting / AP / AR / cash / assets / close,Oracle Fusion Cloud Financials,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0134,F14,"Finance, Accounting, Treasury & Tax",Sage Intacct,Sage,ALTERNATIVE_PRODUCT_PATTERN,Core cloud financial accounting / AP / AR / cash / close,Oracle Fusion Cloud Financials,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0135,F14,"Finance, Accounting, Treasury & Tax",Sage 200,Sage,ALTERNATIVE_PRODUCT_PATTERN,SME/mid-market financial accounting / AP / AR / stock-linked finance,Oracle Fusion Cloud Financials,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0136,F14,"Finance, Accounting, Treasury & Tax",Xero,Xero,ALTERNATIVE_PRODUCT_PATTERN,SME cloud accounting / invoicing / bank reconciliation / expenses,Oracle Fusion Cloud Financials,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0137,F14,"Finance, Accounting, Treasury & Tax",QuickBooks Online,Intuit,ALTERNATIVE_PRODUCT_PATTERN,SME cloud accounting / invoicing / expenses / bank reconciliation,Oracle Fusion Cloud Financials,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0138,F14,"Finance, Accounting, Treasury & Tax",COINS,COINS,ALTERNATIVE_PRODUCT_PATTERN,Construction ERP / job-cost accounting / commercial and project finance,Trimble Viewpoint Vista,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0139,F14,"Finance, Accounting, Treasury & Tax",Trimble Viewpoint Vista,Trimble,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Trimble Viewpoint Vista,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0140,F14,"Finance, Accounting, Treasury & Tax",Trimble Spectrum,Trimble,ALTERNATIVE_PRODUCT_PATTERN,Construction ERP / job-cost accounting / project finance / payroll,Trimble Viewpoint Vista,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0141,F14,"Finance, Accounting, Treasury & Tax",CMiC,CMiC,ALTERNATIVE_PRODUCT_PATTERN,Construction ERP / job costing / project accounting / commercial finance,Trimble Viewpoint Vista,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0142,F14,"Finance, Accounting, Treasury & Tax",Kyriba,Kyriba,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Kyriba,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0143,F14,"Finance, Accounting, Treasury & Tax",Avalara,Avalara,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Avalara,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0144,F15,Human Resources / Human Capital,Workday HCM,Workday,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Workday HCM,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0145,F15,Human Resources / Human Capital,SAP SuccessFactors,SAP,ALTERNATIVE_PRODUCT_PATTERN,Enterprise HCM / recruiting / talent / learning / core HR,Workday HCM,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0146,F15,Human Resources / Human Capital,Oracle HCM Cloud,Oracle,ALTERNATIVE_PRODUCT_PATTERN,Enterprise HCM / recruiting / talent / learning / core HR,Workday HCM,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0147,F15,Human Resources / Human Capital,UKG Pro,UKG,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,UKG Pro,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0148,F15,Human Resources / Human Capital,Dayforce,Dayforce,ALTERNATIVE_PRODUCT_PATTERN,HCM / payroll / workforce management / time / scheduling,Workday HCM; UKG Pro,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0149,F15,Human Resources / Human Capital,Rippling,Rippling,ALTERNATIVE_PRODUCT_PATTERN,Core HR / payroll / onboarding / workforce administration,Workday HCM; UKG Pro,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0150,F15,Human Resources / Human Capital,HiBob,HiBob,ALTERNATIVE_PRODUCT_PATTERN,Core HR / employee lifecycle / talent / workforce administration,Workday HCM,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0151,F15,Human Resources / Human Capital,BambooHR,BambooHR,ALTERNATIVE_PRODUCT_PATTERN,Core HR / hiring / onboarding / employee administration,Workday HCM,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0152,F15,Human Resources / Human Capital,Deel,Deel,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Deel,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0153,F15,Human Resources / Human Capital,Personio,Personio,ALTERNATIVE_PRODUCT_PATTERN,Core HR / recruiting / employee lifecycle / payroll-connected administration,Workday HCM,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0154,F15,Human Resources / Human Capital,Sage HR / Payroll,Sage,ALTERNATIVE_PRODUCT_PATTERN,HR administration / payroll / leave / employee records,Workday HCM; UKG Pro,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0155,F15,Human Resources / Human Capital,BrightPay,BrightPay,ALTERNATIVE_PRODUCT_PATTERN,Payroll processing / statutory payroll / employee pay records,UKG Pro,Use as alternative/equivalence evidence; preserve material semantic differences without creating vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0156,F16,Information Technology,ServiceNow ITSM,ServiceNow,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0157,F16,Information Technology,Jira Service Management,Atlassian,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0158,F16,Information Technology,BMC Helix,BMC,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0159,F16,Information Technology,Ivanti Neurons,Ivanti,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0160,F16,Information Technology,ManageEngine ServiceDesk Plus,ManageEngine,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0161,F16,Information Technology,Freshservice,Freshworks,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0162,F16,Information Technology,Microsoft Intune,Microsoft,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0163,F16,Information Technology,Microsoft Azure,Microsoft,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0164,F16,Information Technology,Amazon Web Services,Amazon Web Services,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0165,F16,Information Technology,GitHub,GitHub,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0166,F16,Information Technology,GitLab,GitLab,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0167,F16,Information Technology,Atlassian Jira,Atlassian,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0168,F17,"Data, Analytics & AI",Microsoft Fabric / Power BI,Microsoft,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0169,F17,"Data, Analytics & AI",Snowflake,Snowflake,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0170,F17,"Data, Analytics & AI",Databricks,Databricks,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0171,F17,"Data, Analytics & AI",Tableau,Tableau,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0172,F17,"Data, Analytics & AI",Qlik,Qlik,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0173,F17,"Data, Analytics & AI",Alteryx,Alteryx,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0174,F17,"Data, Analytics & AI",Informatica,Infor,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0175,F17,"Data, Analytics & AI",Collibra,Collibra,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0176,F17,"Data, Analytics & AI",Dataiku,Dataiku,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0177,F17,"Data, Analytics & AI",dbt,dbt Labs,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0178,F17,"Data, Analytics & AI",Fivetran,Fivetran,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0179,F17,"Data, Analytics & AI",Google Looker,Google,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0180,F17,"Data, Analytics & AI",SAS Viya,SAS,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0181,F17,"Data, Analytics & AI",Palantir Foundry,Palantir,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0182,F18,Cybersecurity & Information Security,Microsoft Defender / Sentinel / Entra,Microsoft,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0183,F18,Cybersecurity & Information Security,CrowdStrike Falcon,CrowdStrike,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0184,F18,Cybersecurity & Information Security,Palo Alto Networks Cortex,Palo Alto Networks,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0185,F18,Cybersecurity & Information Security,Splunk Enterprise Security,Splunk,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0186,F18,Cybersecurity & Information Security,Wiz,Wiz,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0187,F18,Cybersecurity & Information Security,Okta,Okta,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0188,F18,Cybersecurity & Information Security,CyberArk,CyberArk,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0189,F18,Cybersecurity & Information Security,Tenable,Tenable,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0190,F18,Cybersecurity & Information Security,Qualys,Qualys,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0191,F18,Cybersecurity & Information Security,Rapid7,Rapid7,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0192,F18,Cybersecurity & Information Security,Snyk,Snyk,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0193,F18,Cybersecurity & Information Security,Zscaler,Zscaler,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0194,F18,Cybersecurity & Information Security,Cloudflare,Cloudflare,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0195,F18,Cybersecurity & Information Security,Proofpoint,Proofpoint,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0196,F19,Legal & Corporate Secretariat,Icertis Contract Intelligence,Icertis,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0197,F19,Legal & Corporate Secretariat,Ironclad,Ironclad,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0198,F19,Legal & Corporate Secretariat,DocuSign CLM,DocuSign,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0199,F19,Legal & Corporate Secretariat,ContractPodAi,ContractPodAi,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
MTR-0200,F19,Legal & Corporate Secretariat,Agiloft,Agiloft,RESEARCH_PENDING,,,Deep module/task research not yet started for this Function × Product relationship.,RESEARCH_PENDING,2026-09-21
