tool_product,job_mapping_count,classification,canonical_capability_pattern,existing_anchor_products,deep_verification_status,architecture_treatment,verified_date
Tekla Tedds 2026,1,RESEARCH_CANDIDATE,Unclassified specialist capability,,DISCOVERY_REQUIRES_REVIEW,Complete evidence review before architecture treatment.,2026-09-21
Thunderhead Engineering Pathfinder,1,NEW_CAPABILITY_PATTERN,Fire / evacuation / life-safety simulation,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Thunderhead Engineering PyroSim,1,NEW_CAPABILITY_PATTERN,Fire / evacuation / life-safety simulation,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Trimble Agriculture software,1,NEW_CAPABILITY_PATTERN,Agricultural field operations / machine/task records,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Trimble WinEst,1,ALTERNATIVE_PRODUCT_PATTERN,Construction takeoff / estimating / project controls,RIB CostX; RIB Candy; Causeway Estimating; ConQuest Estimating,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Valentin PV*SOL premium,1,RESEARCH_CANDIDATE,Unclassified specialist capability,,DISCOVERY_REQUIRES_REVIEW,Complete evidence review before architecture treatment.,2026-09-21
Vectorworks Spotlight,1,NEW_CAPABILITY_PATTERN,Entertainment/event lighting design and operation,,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Virtual Worlds,1,ALTERNATIVE_PRODUCT_PATTERN,Kitchen/bathroom design / product configuration / quotation,Cyncly 3CAD,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
WeldTrace,1,NEW_CAPABILITY_PATTERN,Welding procedure / traceability / quality records,Tekla PowerFab,DISCOVERY_REQUIRES_REVIEW,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Yardi Voyager,1,ALTERNATIVE_PRODUCT_PATTERN,Property / lease / facilities / IWMS operations,Planon IWMS; Eptura / Archibus,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
