job_profile_id,canonical_name,delivery_domain_id,participating_function_codes_candidate,lifecycle_stages,specialist_capabilities,primary_structured_records,market_tool_category,representative_current_tools,current_market_work_pattern,nublox_native_requirement,function_mapping_status,tool_research_status,verified_date
CBE-JP-035,Facilities manager,D10,F08;F09;F12;F13;F14;F22;F23;F26;F27,Operations,Property/asset register; PPM; reactive maintenance; compliance; contractors; SLAs; budgets,Assets; work orders; service records; inspections; compliance evidence,Facilities / asset / maintenance operations,IBM Maximo Application Suite; Planon IWMS; MRI Software; Eptura / Archibus; Spacewell; IFS Cloud EAM; HxGN EAM; SAP Asset Management,"Perform Property/asset register; PPM; reactive maintenance; compliance; contractors; SLAs; budgets using specialist authoring, calculation, field or business systems; create and exchange Assets; work orders; service records; inspections; compliance evidence.","Provide native job workspace for Property/asset register; PPM; reactive maintenance; compliance; contractors; SLAs; budgets; create/control Assets; work orders; service records; inspections; compliance evidence as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-036,Fence installer,D07,F09;F10;F12;F13;F23;F26;F27,Construction / External works,Survey; estimate; set-out; installation; materials; completion,Quotes; work orders; material usage; photos,Trade field execution / estimating / evidence,Tradify; Fergus; ServiceM8; BigChange; Jobber; SafetyCulture,"Perform Survey; estimate; set-out; installation; materials; completion using specialist authoring, calculation, field or business systems; create and exchange Quotes; work orders; material usage; photos.","Provide native job workspace for Survey; estimate; set-out; installation; materials; completion; create/control Quotes; work orders; material usage; photos as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-037,Fire safety engineer,D02,F05;F13;F19;F23;F26;F27,Design; Construction; Operations,Fire strategy; modelling; design review; compliance evidence; inspections,Fire strategies; calculations; reports; design comments,Engineering analysis / design / technical information,Thunderhead Engineering PyroSim; NIST Fire Dynamics Simulator (FDS); Thunderhead Engineering Pathfinder; NIST CFAST; Oasys MassMotion; Autodesk Revit; Bluebeam Revu,"Perform Fire strategy; modelling; design review; compliance evidence; inspections using specialist authoring, calculation, field or business systems; create and exchange Fire strategies; calculations; reports; design comments.","Provide native job workspace for Fire strategy; modelling; design review; compliance evidence; inspections; create/control Fire strategies; calculations; reports; design comments as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-038,Formworker,D07,F09;F10;F12;F13;F23;F26;F27,Structural construction,Formwork planning; drawings; material/plant requirements; installation; striking; checks,Work orders; checklists; material records; photos,Trade field execution / estimating / evidence,Tekla Structures; PERI CAD / planning tools; Doka Tipos / planning tools; Autodesk Revit; Procore; Autodesk Build; SafetyCulture,"Perform Formwork planning; drawings; material/plant requirements; installation; striking; checks using specialist authoring, calculation, field or business systems; create and exchange Work orders; checklists; material records; photos.","Provide native job workspace for Formwork planning; drawings; material/plant requirements; installation; striking; checks; create/control Work orders; checklists; material records; photos as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-039,Furniture maker,D14,F07;F09;F10;F11;F13;F14;F26;F27,Manufacture; Supply,Design; BOM; production; stock; quality; orders; delivery,Drawings; BOMs; work orders; QC records; sales orders,Supply / fabrication / manufacturing,Hexagon Cabinet Vision; Microvellum; Autodesk Fusion; SOLIDWORKS; Cyncly 3CAD; HOMAG productionManager,"Perform Design; BOM; production; stock; quality; orders; delivery using specialist authoring, calculation, field or business systems; create and exchange Drawings; BOMs; work orders; QC records; sales orders.","Provide native job workspace for Design; BOM; production; stock; quality; orders; delivery; create/control Drawings; BOMs; work orders; QC records; sales orders as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-040,Gas mains layer,D12,F09;F10;F12;F13;F22;F23;F26;F27,Infrastructure construction; Maintenance,Work orders; excavation/laying records; materials; pressure/test records; reinstatement; asset location,Job packs; network records; test results; as-builts,Utilities / network / field operations,Esri ArcGIS Utility Network; Bentley OpenUtilities; Trimble Siteworks; IBM Maximo Application Suite; SAP Field Service Management; SafetyCulture,"Perform Work orders; excavation/laying records; materials; pressure/test records; reinstatement; asset location using specialist authoring, calculation, field or business systems; create and exchange Job packs; network records; test results; as-builts.","Provide native job workspace for Work orders; excavation/laying records; materials; pressure/test records; reinstatement; asset location; create/control Job packs; network records; test results; as-builts as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-041,Gas service technician,D08,F09;F10;F12;F13;F22;F23;F26;F27,Installation; Maintenance,Jobs; appliances; service schedules; tests; defects; parts; certification,Job sheets; appliance records; test results; service records,Building-services design / field service / certification,Joblogic; simPRO; Commusoft; BigChange; ServiceM8; Tradify,"Perform Jobs; appliances; service schedules; tests; defects; parts; certification using specialist authoring, calculation, field or business systems; create and exchange Job sheets; appliance records; test results; service records.","Provide native job workspace for Jobs; appliances; service schedules; tests; defects; parts; certification; create/control Job sheets; appliance records; test results; service records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-042,General practice surveyor,D03,F05;F07;F14;F19;F22;F26;F27,Acquisition; Development; Operations,Property records; valuations; transactions; leases; development appraisal; client advice,Valuations; property records; instructions; reports,Survey / property / valuation / evidence,ARGUS Enterprise; MRI Horizon; Yardi Voyager; Re-Leased; Esri ArcGIS Pro; Microsoft Power BI,"Perform Property records; valuations; transactions; leases; development appraisal; client advice using specialist authoring, calculation, field or business systems; create and exchange Valuations; property records; instructions; reports.","Provide native job workspace for Property records; valuations; transactions; leases; development appraisal; client advice; create/control Valuations; property records; instructions; reports as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-043,Geospatial technician,D05,F05;F17;F19;F22;F26;F27,Survey; Planning; Construction,Data capture; GIS layers; coordinate/reference management; mapping; exports,Spatial datasets; maps; metadata,GIS / planning / modelling / case management,Trimble Business Center; Leica Cyclone; Leica Infinity; Esri ArcGIS Pro; QGIS; Autodesk Civil 3D; Safe Software FME,"Perform Data capture; GIS layers; coordinate/reference management; mapping; exports using specialist authoring, calculation, field or business systems; create and exchange Spatial datasets; maps; metadata.","Provide native job workspace for Data capture; GIS layers; coordinate/reference management; mapping; exports; create/control Spatial datasets; maps; metadata as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-044,Glazier,D07,F09;F10;F12;F13;F23;F26;F27,Fit-out; Maintenance,Measure; quote; product/order; installation; repair; completion,Measurements; quotes; work orders; product records; photos,Trade field execution / estimating / evidence,Cyncly Soft Tech; Orgadata Logikal; Tradify; simPRO; BigChange; ServiceM8,"Perform Measure; quote; product/order; installation; repair; completion using specialist authoring, calculation, field or business systems; create and exchange Measurements; quotes; work orders; product records; photos.","Provide native job workspace for Measure; quote; product/order; installation; repair; completion; create/control Measurements; quotes; work orders; product records; photos as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-045,Heat pump engineer,D08,F09;F10;F12;F13;F22;F23;F26;F27,Retrofit/Installation; Maintenance,Survey; sizing; estimate; installation; commissioning; servicing; evidence,Survey; calculations; job sheets; commissioning/test records,Building-services design / field service / certification,Heat Engineer Software; IES VE 2026; DesignBuilder; Joblogic; simPRO; Commusoft; Elmhurst Design SAP 10,"Perform Survey; sizing; estimate; installation; commissioning; servicing; evidence using specialist authoring, calculation, field or business systems; create and exchange Survey; calculations; job sheets; commissioning/test records.","Provide native job workspace for Survey; sizing; estimate; installation; commissioning; servicing; evidence; create/control Survey; calculations; job sheets; commissioning/test records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-046,Heating and ventilation engineer,D08,F09;F10;F12;F13;F22;F23;F26;F27,Installation; Commissioning; Maintenance,Survey; design support; installation; commissioning; service; defects,Job sheets; equipment records; test/commissioning sheets,Building-services design / field service / certification,MagiCAD; Autodesk Revit; IES VE 2026; DesignBuilder; Danfoss Coolselector2; Joblogic; simPRO; Commusoft,"Perform Survey; design support; installation; commissioning; service; defects using specialist authoring, calculation, field or business systems; create and exchange Job sheets; equipment records; test/commissioning sheets.","Provide native job workspace for Survey; design support; installation; commissioning; service; defects; create/control Job sheets; equipment records; test/commissioning sheets as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-047,Heritage officer,D13,F05;F12;F13;F19;F22;F23;F26;F27,Planning; Conservation; Operations,Heritage asset records; significance assessment; consultations; case management; condition monitoring,Case files; assessments; consultation records; reports,Heritage / landscape / conservation information,Arches; Idox Uniform; Esri ArcGIS Pro; QGIS; Axiell Collections; Microsoft Power BI,"Perform Heritage asset records; significance assessment; consultations; case management; condition monitoring using specialist authoring, calculation, field or business systems; create and exchange Case files; assessments; consultation records; reports.","Provide native job workspace for Heritage asset records; significance assessment; consultations; case management; condition monitoring; create/control Case files; assessments; consultation records; reports as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-048,Kitchen and bathroom designer,D01,F05;F13;F19;F23;F26;F27,Sales; Design; Fit-out,Customer brief; survey; layouts; products; quotation; revisions; approvals,Layouts; product schedules; quotes; approvals,Design authoring / BIM / technical information,Cyncly Winner Flex; Cyncly Innoplus; Virtual Worlds; ArtiCAD; 2020 Design Live; Cyncly EQ Flex,"Perform Customer brief; survey; layouts; products; quotation; revisions; approvals using specialist authoring, calculation, field or business systems; create and exchange Layouts; product schedules; quotes; approvals.","Provide native job workspace for Customer brief; survey; layouts; products; quotation; revisions; approvals; create/control Layouts; product schedules; quotes; approvals as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-049,Kitchen and bathroom fitter,D07,F09;F10;F12;F13;F23;F26;F27,Fit-out,Survey; schedule; installation tasks; materials; coordination; snagging,Work orders; material lists; photos; completion records,Trade field execution / estimating / evidence,Tradify; Fergus; ServiceM8; BigChange; Procore; Autodesk Build,"Perform Survey; schedule; installation tasks; materials; coordination; snagging using specialist authoring, calculation, field or business systems; create and exchange Work orders; material lists; photos; completion records.","Provide native job workspace for Survey; schedule; installation tasks; materials; coordination; snagging; create/control Work orders; material lists; photos; completion records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-050,Land surveyor,D03,F05;F07;F14;F19;F22;F26;F27,Survey; Design; Construction,Survey planning; observations; control; coordinates; topographical outputs; setting out,Survey files; point data; drawings; reports,Survey / property / valuation / evidence,Trimble Access; Trimble Business Center; Leica Captivate; Leica Infinity; Leica Cyclone; Topcon MAGNET; Autodesk Civil 3D,"Perform Survey planning; observations; control; coordinates; topographical outputs; setting out using specialist authoring, calculation, field or business systems; create and exchange Survey files; point data; drawings; reports.","Provide native job workspace for Survey planning; observations; control; coordinates; topographical outputs; setting out; create/control Survey files; point data; drawings; reports as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-051,Landscape architect,D13,F05;F12;F13;F19;F22;F23;F26;F27,Planning; Design; Construction,Brief; site analysis; landscape design; specifications; planting; coordination; inspections,Plans; schedules; specifications; inspection records,Heritage / landscape / conservation information,Vectorworks Landmark; Land F/X; KeySCAPE; AutoCAD; SketchUp; Esri ArcGIS Pro; QGIS,"Perform Brief; site analysis; landscape design; specifications; planting; coordination; inspections using specialist authoring, calculation, field or business systems; create and exchange Plans; schedules; specifications; inspection records.","Provide native job workspace for Brief; site analysis; landscape design; specifications; planting; coordination; inspections; create/control Plans; schedules; specifications; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-052,Landscaper,D13,F05;F12;F13;F19;F22;F23;F26;F27,External works; Maintenance,Quotes; site works; planting/materials; labour; maintenance schedule,Work orders; material schedules; photos; maintenance records,Heritage / landscape / conservation information,Tradify; Fergus; Jobber; ServiceM8; BigChange; SketchUp; Vectorworks Landmark,"Perform Quotes; site works; planting/materials; labour; maintenance schedule using specialist authoring, calculation, field or business systems; create and exchange Work orders; material schedules; photos; maintenance records.","Provide native job workspace for Quotes; site works; planting/materials; labour; maintenance schedule; create/control Work orders; material schedules; photos; maintenance records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-053,Lighting technician,D11,F09;F10;F11;F12;F13;F22;F23;F26;F27,Installation/Event delivery; Maintenance,Equipment planning; inventory; setup; inspections; operation; maintenance,Equipment lists; checklists; allocation records; faults,Plant / specialist operations / production,Vectorworks Spotlight; Capture; CAST WYSIWYG; Lightwright; grandMA3 onPC,"Perform Equipment planning; inventory; setup; inspections; operation; maintenance using specialist authoring, calculation, field or business systems; create and exchange Equipment lists; checklists; allocation records; faults.","Provide native job workspace for Equipment planning; inventory; setup; inspections; operation; maintenance; create/control Equipment lists; checklists; allocation records; faults as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-054,Locksmith,D08,F09;F10;F12;F13;F22;F23;F26;F27,Installation; Maintenance,Callouts; asset/lock register; access hardware; installation; repair; key/control records,Jobs; asset records; key/access records; invoices,Building-services design / field service / certification,Joblogic; simPRO; ServiceM8; BigChange; Tradify; Genetec Security Center; LenelS2 OnGuard,"Perform Callouts; asset/lock register; access hardware; installation; repair; key/control records using specialist authoring, calculation, field or business systems; create and exchange Jobs; asset records; key/access records; invoices.","Provide native job workspace for Callouts; asset/lock register; access hardware; installation; repair; key/control records; create/control Jobs; asset records; key/access records; invoices as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-055,Painter and decorator,D07,F09;F10;F12;F13;F23;F26;F27,Finishes,Estimate; area/take-off; materials; schedule; application; completion,Quotes; work orders; material usage; photos,Trade field execution / estimating / evidence,Tradify; Fergus; ServiceM8; Jobber; BigChange; Procore,"Perform Estimate; area/take-off; materials; schedule; application; completion using specialist authoring, calculation, field or business systems; create and exchange Quotes; work orders; material usage; photos.","Provide native job workspace for Estimate; area/take-off; materials; schedule; application; completion; create/control Quotes; work orders; material usage; photos as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-056,Pipe fitter,D08,F09;F10;F12;F13;F22;F23;F26;F27,Installation; Testing,Isometrics/work packs; fabrication/installation; weld/test references; materials; QA,Work packs; spool/line records; test records; material traceability,Building-services design / field service / certification,AutoCAD Plant 3D; AVEVA E3D Design; Hexagon Smart 3D; Hexagon Isogen; Autodesk Navisworks; WeldEye,"Perform Isometrics/work packs; fabrication/installation; weld/test references; materials; QA using specialist authoring, calculation, field or business systems; create and exchange Work packs; spool/line records; test records; material traceability.","Provide native job workspace for Isometrics/work packs; fabrication/installation; weld/test references; materials; QA; create/control Work packs; spool/line records; test records; material traceability as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-057,Planning and development surveyor,D03,F05;F07;F14;F19;F22;F26;F27,Feasibility; Planning,Site appraisal; development appraisal; planning constraints; valuations; viability; client reports,Appraisals; reports; valuations; planning records,Survey / property / valuation / evidence,ARGUS Enterprise; LandTech; Esri ArcGIS Pro; ArcGIS Urban; Idox Uniform; Microsoft Power BI,"Perform Site appraisal; development appraisal; planning constraints; valuations; viability; client reports using specialist authoring, calculation, field or business systems; create and exchange Appraisals; reports; valuations; planning records.","Provide native job workspace for Site appraisal; development appraisal; planning constraints; valuations; viability; client reports; create/control Appraisals; reports; valuations; planning records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-058,Plasterer,D07,F09;F10;F12;F13;F23;F26;F27,Finishes,Estimate; areas; materials; schedule; application; snagging,Quotes; work orders; material usage; photos,Trade field execution / estimating / evidence,Tradify; Fergus; ServiceM8; Jobber; BigChange; Procore,"Perform Estimate; areas; materials; schedule; application; snagging using specialist authoring, calculation, field or business systems; create and exchange Quotes; work orders; material usage; photos.","Provide native job workspace for Estimate; areas; materials; schedule; application; snagging; create/control Quotes; work orders; material usage; photos as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-059,Plumber,D08,F09;F10;F12;F13;F22;F23;F26;F27,Installation; Testing; Maintenance,Survey; quote; schedule; installation; fixtures; testing; callouts; maintenance,Quotes; job sheets; test records; asset/service records; invoices,Building-services design / field service / certification,simPRO; Joblogic; Commusoft; ServiceM8; Tradify; Fergus; BigChange,"Perform Survey; quote; schedule; installation; fixtures; testing; callouts; maintenance using specialist authoring, calculation, field or business systems; create and exchange Quotes; job sheets; test records; asset/service records; invoices.","Provide native job workspace for Survey; quote; schedule; installation; fixtures; testing; callouts; maintenance; create/control Quotes; job sheets; test records; asset/service records; invoices as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-060,Quantity surveyor,D04,F07;F09;F14;F19;F20;F26;F27,Feasibility; Design; Construction; Final account,Measurement; cost plans; procurement; tender analysis; valuations; variations; forecasts; final accounts,Cost plans; BoQs; tender analyses; valuations; variations; cost reports,Estimating / commercial / contract administration,RIB CostX; RIB Candy; Causeway Estimating; ConQuest Estimating; Bluebeam Revu; Autodesk Takeoff; Thinkproject CEMAR; Oracle Primavera Unifier; Procore,"Perform Measurement; cost plans; procurement; tender analysis; valuations; variations; forecasts; final accounts using specialist authoring, calculation, field or business systems; create and exchange Cost plans; BoQs; tender analyses; valuations; variations; cost reports.","Provide native job workspace for Measurement; cost plans; procurement; tender analysis; valuations; variations; forecasts; final accounts; create/control Cost plans; BoQs; tender analyses; valuations; variations; cost reports as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-061,Quarry engineer,D11,F09;F10;F11;F12;F13;F22;F23;F26;F27,Extraction; Restoration,Site/production planning; extraction records; plant; safety; environmental/restoration records,Plans; production records; inspections; environmental records,Plant / specialist operations / production,AggFlow DM; Command Alkon; Wenco; Hexagon MinePlan; IBM Maximo Application Suite; SafetyCulture,"Perform Site/production planning; extraction records; plant; safety; environmental/restoration records using specialist authoring, calculation, field or business systems; create and exchange Plans; production records; inspections; environmental records.","Provide native job workspace for Site/production planning; extraction records; plant; safety; environmental/restoration records; create/control Plans; production records; inspections; environmental records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-062,Quarry worker,D11,F09;F10;F11;F12;F13;F22;F23;F26;F27,Extraction,Tasks; plant checks; production logs; materials; safety; maintenance defects,Shift logs; plant checks; production records,Plant / specialist operations / production,Command Alkon; Wenco; Hexagon MinePlan; Tenna; Samsara; SafetyCulture,"Perform Tasks; plant checks; production logs; materials; safety; maintenance defects using specialist authoring, calculation, field or business systems; create and exchange Shift logs; plant checks; production records.","Provide native job workspace for Tasks; plant checks; production logs; materials; safety; maintenance defects; create/control Shift logs; plant checks; production records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-063,Refrigeration and air-conditioning installer,D08,F09;F10;F12;F13;F22;F23;F26;F27,Installation; Commissioning; Maintenance,Survey; equipment selection; installation; commissioning; refrigerant/service records; maintenance,Job sheets; equipment records; commissioning/test records; service logs,Building-services design / field service / certification,Danfoss Coolselector2; MagiCAD; Autodesk Revit; Joblogic; simPRO; Commusoft; ServiceM8,"Perform Survey; equipment selection; installation; commissioning; refrigerant/service records; maintenance using specialist authoring, calculation, field or business systems; create and exchange Job sheets; equipment records; commissioning/test records; service logs.","Provide native job workspace for Survey; equipment selection; installation; commissioning; refrigerant/service records; maintenance; create/control Job sheets; equipment records; commissioning/test records; service logs as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-064,Road worker,D12,F09;F10;F12;F13;F22;F23;F26;F27,Infrastructure construction; Maintenance,Work packs; traffic-management references; plant; materials; daily progress; inspections,Work orders; daily records; material usage; inspection records,Utilities / network / field operations,Bentley OpenRoads Designer; Autodesk Civil 3D; Trimble Siteworks; ArcGIS Field Maps; Procore; SafetyCulture,"Perform Work packs; traffic-management references; plant; materials; daily progress; inspections using specialist authoring, calculation, field or business systems; create and exchange Work orders; daily records; material usage; inspection records.","Provide native job workspace for Work packs; traffic-management references; plant; materials; daily progress; inspections; create/control Work orders; daily records; material usage; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-065,Roofer,D07,F09;F10;F12;F13;F23;F26;F27,Envelope construction; Maintenance,Survey; estimate; materials; access; installation/repair; inspections; photos,Quotes; work orders; material schedules; photos,Trade field execution / estimating / evidence,Tradify; Fergus; Jobber; ServiceM8; BigChange; PlanRadar; SafetyCulture,"Perform Survey; estimate; materials; access; installation/repair; inspections; photos using specialist authoring, calculation, field or business systems; create and exchange Quotes; work orders; material schedules; photos.","Provide native job workspace for Survey; estimate; materials; access; installation/repair; inspections; photos; create/control Quotes; work orders; material schedules; photos as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-066,Rural surveyor,D03,F05;F07;F14;F19;F22;F26;F27,Acquisition; Management,Land/property records; valuations; tenancy/estate work; land management; inspections,Valuations; plans; property records; reports,Survey / property / valuation / evidence,Esri ArcGIS Pro; QGIS; MRI Horizon; Re-Leased; LandTech; Microsoft Power BI,"Perform Land/property records; valuations; tenancy/estate work; land management; inspections using specialist authoring, calculation, field or business systems; create and exchange Valuations; plans; property records; reports.","Provide native job workspace for Land/property records; valuations; tenancy/estate work; land management; inspections; create/control Valuations; plans; property records; reports as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-067,Scaffolder,D11,F09;F10;F11;F12;F13;F22;F23;F26;F27,Construction enabling works,Scaffold design/reference; erection; inspection; handover; tagging; alterations; dismantle,Scaffold register; inspection records; handover certificates,Plant / specialist operations / production,SMART Scaffolder; Avontus Scaffold Designer; Avontus Quantify; Procore; SafetyCulture; PlanRadar,"Perform Scaffold design/reference; erection; inspection; handover; tagging; alterations; dismantle using specialist authoring, calculation, field or business systems; create and exchange Scaffold register; inspection records; handover certificates.","Provide native job workspace for Scaffold design/reference; erection; inspection; handover; tagging; alterations; dismantle; create/control Scaffold register; inspection records; handover certificates as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-068,Security systems installer,D08,F09;F10;F12;F13;F22;F23;F26;F27,Installation; Commissioning; Maintenance,Survey; quote; device/system design; installation; testing; commissioning; maintenance,Quotes; device registers; test results; commissioning/service records,Building-services design / field service / certification,JVSG IP Video System Design Tool; System Surveyor; AutoCAD; Genetec Security Center; LenelS2 OnGuard; simPRO; Joblogic,"Perform Survey; quote; device/system design; installation; testing; commissioning; maintenance using specialist authoring, calculation, field or business systems; create and exchange Quotes; device registers; test results; commissioning/service records.","Provide native job workspace for Survey; quote; device/system design; installation; testing; commissioning; maintenance; create/control Quotes; device registers; test results; commissioning/service records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
