career_index,career,primary_domain,specialist_capability_focus,candidate_work_products,typical_lifecycle_stage,external_source,legacy_source_repository,legacy_source_path,legacy_source_sha,review_state,authoring_mode_state,canonical_mapping_state,nublox_coverage_state
64,Road worker,Utilities & Networks,Work packs; traffic-management references; plant; materials; daily progress; inspections,Work orders; daily records; material usage; inspection records,Infrastructure construction → Maintenance,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
65,Roofer,Building Trades,Survey; estimate; materials; access; installation/repair; inspections; photos,Quotes; work orders; material schedules; photos,Envelope construction → Maintenance,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
66,Rural surveyor,"Surveying, Property & Land",Land/property records; valuations; tenancy/estate work; land management; inspections,Valuations; plans; property records; reports,Acquisition → Management,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
67,Scaffolder,"Plant, Equipment & Specialist Operations",Scaffold design/reference; erection; inspection; handover; tagging; alterations; dismantle,Scaffold register; inspection records; handover certificates,Construction enabling works,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
68,Security systems installer,Building Services Trades,Survey; quote; device/system design; installation; testing; commissioning; maintenance,Quotes; device registers; test results; commissioning/service records,Installation → Commissioning → Maintenance,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
69,Shopfitter,Building Trades,Survey; programme; fabrication/install coordination; materials; snagging; handover,Work orders; drawings; material schedules; snagging records,Fit-out,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
70,Solar panel installer,Energy & Building Performance,Survey; system sizing/design inputs; quote; installation; testing; commissioning; maintenance,Survey; quotes; equipment records; commissioning/test records,Retrofit/Installation → Maintenance,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
71,Steel erector,Building Trades,Work packs; lifts; sequence; members; bolts/connections; inspections; progress,Work packs; member records; inspection records; photos,Structural construction,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
72,Steel fixer,Building Trades,Bar schedules/reference; work areas; installation; checks; progress,Work orders; reinforcement records; inspections; photos,Structural construction,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
73,Steeplejack,"Plant, Equipment & Specialist Operations",Access planning; inspection; repair; maintenance; lightning protection records; photos,Inspection reports; work orders; test records; photos,Maintenance / Specialist works,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
74,Stonemason,"Heritage, Conservation & Landscape",Survey/template; fabrication; installation; conservation repair; material traceability,Templates; work orders; material records; photos,Construction → Conservation,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
75,Structural engineer,Engineering & Technical Design,Structural analysis; calculations; drawings; specifications; design changes; inspections,Calculations; models; drawings; specifications; inspection records,Design → Construction,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
76,Surveying technician,"Surveying, Property & Land",Survey support; site data; measurements; drawings; records; inspections,Survey data; drawings; schedules; reports,Survey → Design → Construction,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
77,Thermal insulation engineer,Energy & Building Performance,Take-off; materials; installation; quality checks; completion evidence,Work orders; material usage; inspection records; photos,Installation → Completion,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
78,Tiler,Building Trades,Measure; estimate; layout; materials; installation; snagging,Quotes; work orders; material usage; photos,Finishes,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
79,Town planner,"Geospatial, Planning & Transport",Planning cases; policy/constraints; consultations; site appraisal; reports; decisions tracking,Applications/cases; consultation records; reports; spatial data,Feasibility → Planning,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
80,Town planning assistant,"Geospatial, Planning & Transport",Application processing; data gathering; plans; consultations; case administration,Case records; plans; consultation records,Planning,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
81,Transport planner,"Geospatial, Planning & Transport",Demand/network analysis; options; modelling; consultation; reports; programme interfaces,Models; datasets; option reports; plans,Feasibility → Planning → Design,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
82,Water network operative,Utilities & Networks,Work orders; network asset location; repairs; leakage; tests; reinstatement; as-builts,Job packs; network records; test results; as-builts,Infrastructure construction → Maintenance,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
83,Welder,Supply Chain & Manufacturing,Work packs; weld procedures/references; material traceability; weld logs; inspections; repairs,Weld logs; material records; inspection/NDT references; work orders,Fabrication → Construction,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
84,Wood machinist,Supply Chain & Manufacturing,Cut lists; machine jobs; BOM/material stock; quality; production output,Cut lists; work orders; material records; QC records,Manufacture,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
