job_archetype_id,job_title,career_index,domain,internal_job_profile_ids,internal_profile_state,work_product_id,work_product_name,authoring_mode_candidate,enterprise_stream,context_types,primary_functions,primary_subfunctions,canonical_object_candidate,authoring_primitive_candidate,upstream_inputs,downstream_handoff,evidence_requirement,review_state
JOB-PLAST,Plasterer,58,Building Trades,,gap-no-direct-job-profile,WP-PLAST-002,Plastering Pre-Start / Control Check,NATIVE,Deliver,Site|Work Package|Person,F23|F27,F23.02|F27.06,Pre-Start / Control Record,Field/Mobile composition,task|RAMS|permit|competence,Authorised start,"Acknowledgement, time and exceptions",candidate-revalidation
JOB-PLAST,Plasterer,58,Building Trades,,gap-no-direct-job-profile,WP-PLAST-003,Plastering Measurement / Set-Out Record,NATIVE,Deliver,Site|Location|Work Package,F27|F26,F27.06|F26.05,Measurement / Set-Out Record,Field/Mobile composition,drawings|dimensions|survey/control,Material / execution,"Measured values, location and attribution",candidate-revalidation
JOB-PLAST,Plasterer,58,Building Trades,,gap-no-direct-job-profile,WP-PLAST-004,Plastering Material / Tool / Plant Usage,NATIVE,Deliver,Work Package|Material|Asset|Shift,F10|F22|F27,F10.05|F22.06|F27.06,Consumption / Usage Record,Field/Mobile composition,issued materials|tools|plant|task,Cost / stock / asset history,"Item identity, quantity, time and task",candidate-revalidation
JOB-PLAST,Plasterer,58,Building Trades,,gap-no-direct-job-profile,WP-PLAST-005,Plastering Execution / Progress Record,NATIVE,Deliver,Work Package|Activity|Location|Shift,F27,F27.06,Progress / Execution Record,Field/Mobile composition,task|labour|materials,Project progress / valuation,"Quantity, location, time and photo evidence",candidate-revalidation
JOB-PLAST,Plasterer,58,Building Trades,,gap-no-direct-job-profile,WP-PLAST-006,Plastering Quality Inspection / Check,NATIVE,Deliver,Work Package|Location,F13,F13.04,Inspection / Quality Check,Field/Mobile composition,criteria|completed work|drawing/specification,Acceptance / defect,"Criteria, result, photos and inspector",candidate-revalidation
JOB-PLAST,Plasterer,58,Building Trades,,gap-no-direct-job-profile,WP-PLAST-007,Plastering Defect / Rework Record,NATIVE,Deliver,Work Package|Location|Finding,F13,F13.05,Defect / NCR,Case Workspace,inspection|site observation|requirement,Rework / verification,"Evidence, responsibility, disposition and closure",candidate-revalidation
JOB-PLAST,Plasterer,58,Building Trades,,gap-no-direct-job-profile,WP-PLAST-008,Plastering Completion / Handover Record,NATIVE,Deliver,Work Package|Location|Project,F13|F27,F13.08|F27.08,Completion / Handover Record,Field/Mobile composition,accepted work|open items|evidence,Next trade / client / project closeout,"Completion, acceptance and retained evidence",candidate-revalidation
JOB-ROOF,Roofer,65,Building Trades,,gap-no-direct-job-profile,WP-ROOF-001,Roofing Work Instruction / Task Pack,NATIVE,Deliver,Project|Site|Work Package|Location,F27|F26,F27.06|F26.05,Work Package / Task Instruction,Field/Mobile composition,approved scope|drawings|method|location,Execution,"Exact task, location, revision and assignee",candidate-revalidation
JOB-ROOF,Roofer,65,Building Trades,,gap-no-direct-job-profile,WP-ROOF-002,Roofing Pre-Start / Control Check,NATIVE,Deliver,Site|Work Package|Person,F23|F27,F23.02|F27.06,Pre-Start / Control Record,Field/Mobile composition,task|RAMS|permit|competence,Authorised start,"Acknowledgement, time and exceptions",candidate-revalidation
JOB-ROOF,Roofer,65,Building Trades,,gap-no-direct-job-profile,WP-ROOF-003,Roofing Measurement / Set-Out Record,NATIVE,Deliver,Site|Location|Work Package,F27|F26,F27.06|F26.05,Measurement / Set-Out Record,Field/Mobile composition,drawings|dimensions|survey/control,Material / execution,"Measured values, location and attribution",candidate-revalidation
JOB-ROOF,Roofer,65,Building Trades,,gap-no-direct-job-profile,WP-ROOF-004,Roofing Material / Tool / Plant Usage,NATIVE,Deliver,Work Package|Material|Asset|Shift,F10|F22|F27,F10.05|F22.06|F27.06,Consumption / Usage Record,Field/Mobile composition,issued materials|tools|plant|task,Cost / stock / asset history,"Item identity, quantity, time and task",candidate-revalidation
JOB-ROOF,Roofer,65,Building Trades,,gap-no-direct-job-profile,WP-ROOF-005,Roofing Execution / Progress Record,NATIVE,Deliver,Work Package|Activity|Location|Shift,F27,F27.06,Progress / Execution Record,Field/Mobile composition,task|labour|materials,Project progress / valuation,"Quantity, location, time and photo evidence",candidate-revalidation
JOB-ROOF,Roofer,65,Building Trades,,gap-no-direct-job-profile,WP-ROOF-006,Roofing Quality Inspection / Check,NATIVE,Deliver,Work Package|Location,F13,F13.04,Inspection / Quality Check,Field/Mobile composition,criteria|completed work|drawing/specification,Acceptance / defect,"Criteria, result, photos and inspector",candidate-revalidation
JOB-ROOF,Roofer,65,Building Trades,,gap-no-direct-job-profile,WP-ROOF-007,Roofing Defect / Rework Record,NATIVE,Deliver,Work Package|Location|Finding,F13,F13.05,Defect / NCR,Case Workspace,inspection|site observation|requirement,Rework / verification,"Evidence, responsibility, disposition and closure",candidate-revalidation
JOB-ROOF,Roofer,65,Building Trades,,gap-no-direct-job-profile,WP-ROOF-008,Roofing Completion / Handover Record,NATIVE,Deliver,Work Package|Location|Project,F13|F27,F13.08|F27.08,Completion / Handover Record,Field/Mobile composition,accepted work|open items|evidence,Next trade / client / project closeout,"Completion, acceptance and retained evidence",candidate-revalidation
JOB-SHOP,Shopfitter,69,Building Trades,,gap-no-direct-job-profile,WP-SHOP-001,Shopfitting Work Instruction / Task Pack,NATIVE,Deliver,Project|Site|Work Package|Location,F27|F26,F27.06|F26.05,Work Package / Task Instruction,Field/Mobile composition,approved scope|drawings|method|location,Execution,"Exact task, location, revision and assignee",candidate-revalidation
JOB-SHOP,Shopfitter,69,Building Trades,,gap-no-direct-job-profile,WP-SHOP-002,Shopfitting Pre-Start / Control Check,NATIVE,Deliver,Site|Work Package|Person,F23|F27,F23.02|F27.06,Pre-Start / Control Record,Field/Mobile composition,task|RAMS|permit|competence,Authorised start,"Acknowledgement, time and exceptions",candidate-revalidation
JOB-SHOP,Shopfitter,69,Building Trades,,gap-no-direct-job-profile,WP-SHOP-003,Shopfitting Measurement / Set-Out Record,NATIVE,Deliver,Site|Location|Work Package,F27|F26,F27.06|F26.05,Measurement / Set-Out Record,Field/Mobile composition,drawings|dimensions|survey/control,Material / execution,"Measured values, location and attribution",candidate-revalidation
JOB-SHOP,Shopfitter,69,Building Trades,,gap-no-direct-job-profile,WP-SHOP-004,Shopfitting Material / Tool / Plant Usage,NATIVE,Deliver,Work Package|Material|Asset|Shift,F10|F22|F27,F10.05|F22.06|F27.06,Consumption / Usage Record,Field/Mobile composition,issued materials|tools|plant|task,Cost / stock / asset history,"Item identity, quantity, time and task",candidate-revalidation
JOB-SHOP,Shopfitter,69,Building Trades,,gap-no-direct-job-profile,WP-SHOP-005,Shopfitting Execution / Progress Record,NATIVE,Deliver,Work Package|Activity|Location|Shift,F27,F27.06,Progress / Execution Record,Field/Mobile composition,task|labour|materials,Project progress / valuation,"Quantity, location, time and photo evidence",candidate-revalidation
JOB-SHOP,Shopfitter,69,Building Trades,,gap-no-direct-job-profile,WP-SHOP-006,Shopfitting Quality Inspection / Check,NATIVE,Deliver,Work Package|Location,F13,F13.04,Inspection / Quality Check,Field/Mobile composition,criteria|completed work|drawing/specification,Acceptance / defect,"Criteria, result, photos and inspector",candidate-revalidation
JOB-SHOP,Shopfitter,69,Building Trades,,gap-no-direct-job-profile,WP-SHOP-007,Shopfitting Defect / Rework Record,NATIVE,Deliver,Work Package|Location|Finding,F13,F13.05,Defect / NCR,Case Workspace,inspection|site observation|requirement,Rework / verification,"Evidence, responsibility, disposition and closure",candidate-revalidation
JOB-SHOP,Shopfitter,69,Building Trades,,gap-no-direct-job-profile,WP-SHOP-008,Shopfitting Completion / Handover Record,NATIVE,Deliver,Work Package|Location|Project,F13|F27,F13.08|F27.08,Completion / Handover Record,Field/Mobile composition,accepted work|open items|evidence,Next trade / client / project closeout,"Completion, acceptance and retained evidence",candidate-revalidation
JOB-STEELERECT,Steel Erector,71,Building Trades,,gap-no-direct-job-profile,WP-STEELERECT-001,Steel Erection Work Instruction / Task Pack,NATIVE,Deliver,Project|Site|Work Package|Location,F27|F26,F27.06|F26.05,Work Package / Task Instruction,Field/Mobile composition,approved scope|drawings|method|location,Execution,"Exact task, location, revision and assignee",candidate-revalidation
JOB-STEELERECT,Steel Erector,71,Building Trades,,gap-no-direct-job-profile,WP-STEELERECT-002,Steel Erection Pre-Start / Control Check,NATIVE,Deliver,Site|Work Package|Person,F23|F27,F23.02|F27.06,Pre-Start / Control Record,Field/Mobile composition,task|RAMS|permit|competence,Authorised start,"Acknowledgement, time and exceptions",candidate-revalidation
JOB-STEELERECT,Steel Erector,71,Building Trades,,gap-no-direct-job-profile,WP-STEELERECT-003,Steel Erection Measurement / Set-Out Record,NATIVE,Deliver,Site|Location|Work Package,F27|F26,F27.06|F26.05,Measurement / Set-Out Record,Field/Mobile composition,drawings|dimensions|survey/control,Material / execution,"Measured values, location and attribution",candidate-revalidation
JOB-STEELERECT,Steel Erector,71,Building Trades,,gap-no-direct-job-profile,WP-STEELERECT-004,Steel Erection Material / Tool / Plant Usage,NATIVE,Deliver,Work Package|Material|Asset|Shift,F10|F22|F27,F10.05|F22.06|F27.06,Consumption / Usage Record,Field/Mobile composition,issued materials|tools|plant|task,Cost / stock / asset history,"Item identity, quantity, time and task",candidate-revalidation
JOB-STEELERECT,Steel Erector,71,Building Trades,,gap-no-direct-job-profile,WP-STEELERECT-005,Steel Erection Execution / Progress Record,NATIVE,Deliver,Work Package|Activity|Location|Shift,F27,F27.06,Progress / Execution Record,Field/Mobile composition,task|labour|materials,Project progress / valuation,"Quantity, location, time and photo evidence",candidate-revalidation
JOB-STEELERECT,Steel Erector,71,Building Trades,,gap-no-direct-job-profile,WP-STEELERECT-006,Steel Erection Quality Inspection / Check,NATIVE,Deliver,Work Package|Location,F13,F13.04,Inspection / Quality Check,Field/Mobile composition,criteria|completed work|drawing/specification,Acceptance / defect,"Criteria, result, photos and inspector",candidate-revalidation
JOB-STEELERECT,Steel Erector,71,Building Trades,,gap-no-direct-job-profile,WP-STEELERECT-007,Steel Erection Defect / Rework Record,NATIVE,Deliver,Work Package|Location|Finding,F13,F13.05,Defect / NCR,Case Workspace,inspection|site observation|requirement,Rework / verification,"Evidence, responsibility, disposition and closure",candidate-revalidation
JOB-STEELERECT,Steel Erector,71,Building Trades,,gap-no-direct-job-profile,WP-STEELERECT-008,Steel Erection Completion / Handover Record,NATIVE,Deliver,Work Package|Location|Project,F13|F27,F13.08|F27.08,Completion / Handover Record,Field/Mobile composition,accepted work|open items|evidence,Next trade / client / project closeout,"Completion, acceptance and retained evidence",candidate-revalidation
JOB-STEELFIX,Steel Fixer,72,Building Trades,,gap-no-direct-job-profile,WP-STEELFIX-001,Reinforcement Work Instruction / Task Pack,NATIVE,Deliver,Project|Site|Work Package|Location,F27|F26,F27.06|F26.05,Work Package / Task Instruction,Field/Mobile composition,approved scope|drawings|method|location,Execution,"Exact task, location, revision and assignee",candidate-revalidation
JOB-STEELFIX,Steel Fixer,72,Building Trades,,gap-no-direct-job-profile,WP-STEELFIX-002,Reinforcement Pre-Start / Control Check,NATIVE,Deliver,Site|Work Package|Person,F23|F27,F23.02|F27.06,Pre-Start / Control Record,Field/Mobile composition,task|RAMS|permit|competence,Authorised start,"Acknowledgement, time and exceptions",candidate-revalidation
JOB-STEELFIX,Steel Fixer,72,Building Trades,,gap-no-direct-job-profile,WP-STEELFIX-003,Reinforcement Measurement / Set-Out Record,NATIVE,Deliver,Site|Location|Work Package,F27|F26,F27.06|F26.05,Measurement / Set-Out Record,Field/Mobile composition,drawings|dimensions|survey/control,Material / execution,"Measured values, location and attribution",candidate-revalidation
JOB-STEELFIX,Steel Fixer,72,Building Trades,,gap-no-direct-job-profile,WP-STEELFIX-004,Reinforcement Material / Tool / Plant Usage,NATIVE,Deliver,Work Package|Material|Asset|Shift,F10|F22|F27,F10.05|F22.06|F27.06,Consumption / Usage Record,Field/Mobile composition,issued materials|tools|plant|task,Cost / stock / asset history,"Item identity, quantity, time and task",candidate-revalidation
JOB-STEELFIX,Steel Fixer,72,Building Trades,,gap-no-direct-job-profile,WP-STEELFIX-005,Reinforcement Execution / Progress Record,NATIVE,Deliver,Work Package|Activity|Location|Shift,F27,F27.06,Progress / Execution Record,Field/Mobile composition,task|labour|materials,Project progress / valuation,"Quantity, location, time and photo evidence",candidate-revalidation
JOB-STEELFIX,Steel Fixer,72,Building Trades,,gap-no-direct-job-profile,WP-STEELFIX-006,Reinforcement Quality Inspection / Check,NATIVE,Deliver,Work Package|Location,F13,F13.04,Inspection / Quality Check,Field/Mobile composition,criteria|completed work|drawing/specification,Acceptance / defect,"Criteria, result, photos and inspector",candidate-revalidation
JOB-STEELFIX,Steel Fixer,72,Building Trades,,gap-no-direct-job-profile,WP-STEELFIX-007,Reinforcement Defect / Rework Record,NATIVE,Deliver,Work Package|Location|Finding,F13,F13.05,Defect / NCR,Case Workspace,inspection|site observation|requirement,Rework / verification,"Evidence, responsibility, disposition and closure",candidate-revalidation
JOB-STEELFIX,Steel Fixer,72,Building Trades,,gap-no-direct-job-profile,WP-STEELFIX-008,Reinforcement Completion / Handover Record,NATIVE,Deliver,Work Package|Location|Project,F13|F27,F13.08|F27.08,Completion / Handover Record,Field/Mobile composition,accepted work|open items|evidence,Next trade / client / project closeout,"Completion, acceptance and retained evidence",candidate-revalidation
JOB-TILE,Tiler,78,Building Trades,,gap-no-direct-job-profile,WP-TILE-001,Tiling Work Instruction / Task Pack,NATIVE,Deliver,Project|Site|Work Package|Location,F27|F26,F27.06|F26.05,Work Package / Task Instruction,Field/Mobile composition,approved scope|drawings|method|location,Execution,"Exact task, location, revision and assignee",candidate-revalidation
JOB-TILE,Tiler,78,Building Trades,,gap-no-direct-job-profile,WP-TILE-002,Tiling Pre-Start / Control Check,NATIVE,Deliver,Site|Work Package|Person,F23|F27,F23.02|F27.06,Pre-Start / Control Record,Field/Mobile composition,task|RAMS|permit|competence,Authorised start,"Acknowledgement, time and exceptions",candidate-revalidation
JOB-TILE,Tiler,78,Building Trades,,gap-no-direct-job-profile,WP-TILE-003,Tiling Measurement / Set-Out Record,NATIVE,Deliver,Site|Location|Work Package,F27|F26,F27.06|F26.05,Measurement / Set-Out Record,Field/Mobile composition,drawings|dimensions|survey/control,Material / execution,"Measured values, location and attribution",candidate-revalidation
JOB-TILE,Tiler,78,Building Trades,,gap-no-direct-job-profile,WP-TILE-004,Tiling Material / Tool / Plant Usage,NATIVE,Deliver,Work Package|Material|Asset|Shift,F10|F22|F27,F10.05|F22.06|F27.06,Consumption / Usage Record,Field/Mobile composition,issued materials|tools|plant|task,Cost / stock / asset history,"Item identity, quantity, time and task",candidate-revalidation
JOB-TILE,Tiler,78,Building Trades,,gap-no-direct-job-profile,WP-TILE-005,Tiling Execution / Progress Record,NATIVE,Deliver,Work Package|Activity|Location|Shift,F27,F27.06,Progress / Execution Record,Field/Mobile composition,task|labour|materials,Project progress / valuation,"Quantity, location, time and photo evidence",candidate-revalidation
JOB-TILE,Tiler,78,Building Trades,,gap-no-direct-job-profile,WP-TILE-006,Tiling Quality Inspection / Check,NATIVE,Deliver,Work Package|Location,F13,F13.04,Inspection / Quality Check,Field/Mobile composition,criteria|completed work|drawing/specification,Acceptance / defect,"Criteria, result, photos and inspector",candidate-revalidation
JOB-TILE,Tiler,78,Building Trades,,gap-no-direct-job-profile,WP-TILE-007,Tiling Defect / Rework Record,NATIVE,Deliver,Work Package|Location|Finding,F13,F13.05,Defect / NCR,Case Workspace,inspection|site observation|requirement,Rework / verification,"Evidence, responsibility, disposition and closure",candidate-revalidation
JOB-TILE,Tiler,78,Building Trades,,gap-no-direct-job-profile,WP-TILE-008,Tiling Completion / Handover Record,NATIVE,Deliver,Work Package|Location|Project,F13|F27,F13.08|F27.08,Completion / Handover Record,Field/Mobile composition,accepted work|open items|evidence,Next trade / client / project closeout,"Completion, acceptance and retained evidence",candidate-revalidation
JOB-CAV,Cavity Insulation Installer,16,Energy & Building Performance,,gap-no-direct-job-profile,WP-CAV-001,Cavity Insulation Survey / Diagnostic Record,NATIVE,Operate,Property|Site|System|Asset,F22|F27,F22.06|F27.06,Survey / Diagnostic Record,Field/Mobile composition,instruction|existing asset data|site condition,Scope / design / quote,"Measurements, condition, photos and technician",candidate-revalidation
JOB-CAV,Cavity Insulation Installer,16,Energy & Building Performance,,gap-no-direct-job-profile,WP-CAV-002,Cavity Insulation Quote / Work Scope,NATIVE,Operate,Party|Property|Work Order,F07|F22,F07.04|F22.08,Quotation / Work Scope,Object Workspace,survey|rates|materials|labour,Approval / work order,"Scope, assumptions, price and validity",candidate-revalidation
JOB-CAV,Cavity Insulation Installer,16,Energy & Building Performance,,gap-no-direct-job-profile,WP-CAV-003,Cavity Insulation Equipment / Component Schedule,NATIVE,Enterprise Data,System|Asset|Product|Location,F22|F10,F22.06|F10.05,Equipment / Component Schedule,Enterprise Grid,survey|design|catalogue,Procurement / installation,"Product identity, quantity and location",candidate-revalidation
JOB-CAV,Cavity Insulation Installer,16,Energy & Building Performance,,gap-no-direct-job-profile,WP-CAV-004,Cavity Insulation Work Order / Job Sheet,NATIVE,Operate,Work Order|Property|System|Person,F22,F22.08,Maintenance / Service Work Order,Field/Mobile composition,approved scope|asset|schedule,Execution,"Authorised task, assignee, dates and status",candidate-revalidation
JOB-CAV,Cavity Insulation Installer,16,Energy & Building Performance,,gap-no-direct-job-profile,WP-CAV-005,Cavity Insulation Installation / Service Record,NATIVE,Operate,Work Order|System|Asset|Location,F22|F27,F22.08|F27.06,Installation / Service Record,Field/Mobile composition,work order|parts|method,Test / asset history,"Who, what, where, parts and configuration",candidate-revalidation
JOB-CAV,Cavity Insulation Installer,16,Energy & Building Performance,,gap-no-direct-job-profile,WP-CAV-006,Cavity Insulation Test / Commissioning Record,NATIVE,Operate,System|Asset|Property,F13|F22,F13.04|F22.06,Inspection / Test / Commissioning,Field/Mobile composition,installation|test procedure|criteria,Acceptance / certificate,"Readings, result, instrument and witness",candidate-revalidation
JOB-CAV,Cavity Insulation Installer,16,Energy & Building Performance,,gap-no-direct-job-profile,WP-CAV-007,Cavity Insulation Defect / Parts / Exception Record,NATIVE,Operate,System|Asset|Work Order,F22|F13,F22.08|F13.05,Defect / Service Exception,Case Workspace,diagnostic|test|asset history,Repair / replacement / follow-up,"Symptoms, cause, parts and disposition",candidate-revalidation
JOB-CAV,Cavity Insulation Installer,16,Energy & Building Performance,,gap-no-direct-job-profile,WP-CAV-008,Cavity Insulation Completion / Certificate / Handover,ASSISTED,Operate,Property|System|Asset|Party,F22|F26,F22.06|F26.06,Certificate / Handover Package,Assisted Report Generator,service record|tests|asset updates|open items,Client / operations / asset record,"Signer/technician, exact evidence and accepted status",candidate-revalidation
JOB-GAS,Gas Service Technician,41,Building Services Trades,,gap-no-direct-job-profile,WP-GAS-001,Gas Appliance / System Survey / Diagnostic Record,NATIVE,Operate,Property|Site|System|Asset,F22|F27,F22.06|F27.06,Survey / Diagnostic Record,Field/Mobile composition,instruction|existing asset data|site condition,Scope / design / quote,"Measurements, condition, photos and technician",candidate-revalidation
JOB-GAS,Gas Service Technician,41,Building Services Trades,,gap-no-direct-job-profile,WP-GAS-002,Gas Appliance / System Quote / Work Scope,NATIVE,Operate,Party|Property|Work Order,F07|F22,F07.04|F22.08,Quotation / Work Scope,Object Workspace,survey|rates|materials|labour,Approval / work order,"Scope, assumptions, price and validity",candidate-revalidation
JOB-GAS,Gas Service Technician,41,Building Services Trades,,gap-no-direct-job-profile,WP-GAS-003,Gas Appliance / System Equipment / Component Schedule,NATIVE,Enterprise Data,System|Asset|Product|Location,F22|F10,F22.06|F10.05,Equipment / Component Schedule,Enterprise Grid,survey|design|catalogue,Procurement / installation,"Product identity, quantity and location",candidate-revalidation
JOB-GAS,Gas Service Technician,41,Building Services Trades,,gap-no-direct-job-profile,WP-GAS-004,Gas Appliance / System Work Order / Job Sheet,NATIVE,Operate,Work Order|Property|System|Person,F22,F22.08,Maintenance / Service Work Order,Field/Mobile composition,approved scope|asset|schedule,Execution,"Authorised task, assignee, dates and status",candidate-revalidation
JOB-GAS,Gas Service Technician,41,Building Services Trades,,gap-no-direct-job-profile,WP-GAS-005,Gas Appliance / System Installation / Service Record,NATIVE,Operate,Work Order|System|Asset|Location,F22|F27,F22.08|F27.06,Installation / Service Record,Field/Mobile composition,work order|parts|method,Test / asset history,"Who, what, where, parts and configuration",candidate-revalidation
JOB-GAS,Gas Service Technician,41,Building Services Trades,,gap-no-direct-job-profile,WP-GAS-006,Gas Appliance / System Test / Commissioning Record,NATIVE,Operate,System|Asset|Property,F13|F22,F13.04|F22.06,Inspection / Test / Commissioning,Field/Mobile composition,installation|test procedure|criteria,Acceptance / certificate,"Readings, result, instrument and witness",candidate-revalidation
JOB-GAS,Gas Service Technician,41,Building Services Trades,,gap-no-direct-job-profile,WP-GAS-007,Gas Appliance / System Defect / Parts / Exception Record,NATIVE,Operate,System|Asset|Work Order,F22|F13,F22.08|F13.05,Defect / Service Exception,Case Workspace,diagnostic|test|asset history,Repair / replacement / follow-up,"Symptoms, cause, parts and disposition",candidate-revalidation
JOB-GAS,Gas Service Technician,41,Building Services Trades,,gap-no-direct-job-profile,WP-GAS-008,Gas Appliance / System Completion / Certificate / Handover,ASSISTED,Operate,Property|System|Asset|Party,F22|F26,F22.06|F26.06,Certificate / Handover Package,Assisted Report Generator,service record|tests|asset updates|open items,Client / operations / asset record,"Signer/technician, exact evidence and accepted status",candidate-revalidation
JOB-HP,Heat Pump Engineer,45,Building Services Trades,,gap-no-direct-job-profile,WP-HP-001,Heat Pump Survey / Diagnostic Record,NATIVE,Operate,Property|Site|System|Asset,F22|F27,F22.06|F27.06,Survey / Diagnostic Record,Field/Mobile composition,instruction|existing asset data|site condition,Scope / design / quote,"Measurements, condition, photos and technician",candidate-revalidation
JOB-HP,Heat Pump Engineer,45,Building Services Trades,,gap-no-direct-job-profile,WP-HP-002,Heat Pump Quote / Work Scope,NATIVE,Operate,Party|Property|Work Order,F07|F22,F07.04|F22.08,Quotation / Work Scope,Object Workspace,survey|rates|materials|labour,Approval / work order,"Scope, assumptions, price and validity",candidate-revalidation
JOB-HP,Heat Pump Engineer,45,Building Services Trades,,gap-no-direct-job-profile,WP-HP-003,Heat Pump Equipment / Component Schedule,NATIVE,Enterprise Data,System|Asset|Product|Location,F22|F10,F22.06|F10.05,Equipment / Component Schedule,Enterprise Grid,survey|design|catalogue,Procurement / installation,"Product identity, quantity and location",candidate-revalidation
JOB-HP,Heat Pump Engineer,45,Building Services Trades,,gap-no-direct-job-profile,WP-HP-004,Heat Pump Work Order / Job Sheet,NATIVE,Operate,Work Order|Property|System|Person,F22,F22.08,Maintenance / Service Work Order,Field/Mobile composition,approved scope|asset|schedule,Execution,"Authorised task, assignee, dates and status",candidate-revalidation
JOB-HP,Heat Pump Engineer,45,Building Services Trades,,gap-no-direct-job-profile,WP-HP-005,Heat Pump Installation / Service Record,NATIVE,Operate,Work Order|System|Asset|Location,F22|F27,F22.08|F27.06,Installation / Service Record,Field/Mobile composition,work order|parts|method,Test / asset history,"Who, what, where, parts and configuration",candidate-revalidation
JOB-HP,Heat Pump Engineer,45,Building Services Trades,,gap-no-direct-job-profile,WP-HP-006,Heat Pump Test / Commissioning Record,NATIVE,Operate,System|Asset|Property,F13|F22,F13.04|F22.06,Inspection / Test / Commissioning,Field/Mobile composition,installation|test procedure|criteria,Acceptance / certificate,"Readings, result, instrument and witness",candidate-revalidation
JOB-HP,Heat Pump Engineer,45,Building Services Trades,,gap-no-direct-job-profile,WP-HP-007,Heat Pump Defect / Parts / Exception Record,NATIVE,Operate,System|Asset|Work Order,F22|F13,F22.08|F13.05,Defect / Service Exception,Case Workspace,diagnostic|test|asset history,Repair / replacement / follow-up,"Symptoms, cause, parts and disposition",candidate-revalidation
JOB-HP,Heat Pump Engineer,45,Building Services Trades,,gap-no-direct-job-profile,WP-HP-008,Heat Pump Completion / Certificate / Handover,ASSISTED,Operate,Property|System|Asset|Party,F22|F26,F22.06|F26.06,Certificate / Handover Package,Assisted Report Generator,service record|tests|asset updates|open items,Client / operations / asset record,"Signer/technician, exact evidence and accepted status",candidate-revalidation
JOB-HVAC,Heating and Ventilation Engineer,46,Building Services Trades,,gap-no-direct-job-profile,WP-HVAC-001,Heating / Ventilation Survey / Diagnostic Record,NATIVE,Operate,Property|Site|System|Asset,F22|F27,F22.06|F27.06,Survey / Diagnostic Record,Field/Mobile composition,instruction|existing asset data|site condition,Scope / design / quote,"Measurements, condition, photos and technician",candidate-revalidation
JOB-HVAC,Heating and Ventilation Engineer,46,Building Services Trades,,gap-no-direct-job-profile,WP-HVAC-002,Heating / Ventilation Quote / Work Scope,NATIVE,Operate,Party|Property|Work Order,F07|F22,F07.04|F22.08,Quotation / Work Scope,Object Workspace,survey|rates|materials|labour,Approval / work order,"Scope, assumptions, price and validity",candidate-revalidation
JOB-HVAC,Heating and Ventilation Engineer,46,Building Services Trades,,gap-no-direct-job-profile,WP-HVAC-003,Heating / Ventilation Equipment / Component Schedule,NATIVE,Enterprise Data,System|Asset|Product|Location,F22|F10,F22.06|F10.05,Equipment / Component Schedule,Enterprise Grid,survey|design|catalogue,Procurement / installation,"Product identity, quantity and location",candidate-revalidation
JOB-HVAC,Heating and Ventilation Engineer,46,Building Services Trades,,gap-no-direct-job-profile,WP-HVAC-004,Heating / Ventilation Work Order / Job Sheet,NATIVE,Operate,Work Order|Property|System|Person,F22,F22.08,Maintenance / Service Work Order,Field/Mobile composition,approved scope|asset|schedule,Execution,"Authorised task, assignee, dates and status",candidate-revalidation
JOB-HVAC,Heating and Ventilation Engineer,46,Building Services Trades,,gap-no-direct-job-profile,WP-HVAC-005,Heating / Ventilation Installation / Service Record,NATIVE,Operate,Work Order|System|Asset|Location,F22|F27,F22.08|F27.06,Installation / Service Record,Field/Mobile composition,work order|parts|method,Test / asset history,"Who, what, where, parts and configuration",candidate-revalidation
JOB-HVAC,Heating and Ventilation Engineer,46,Building Services Trades,,gap-no-direct-job-profile,WP-HVAC-006,Heating / Ventilation Test / Commissioning Record,NATIVE,Operate,System|Asset|Property,F13|F22,F13.04|F22.06,Inspection / Test / Commissioning,Field/Mobile composition,installation|test procedure|criteria,Acceptance / certificate,"Readings, result, instrument and witness",candidate-revalidation
JOB-HVAC,Heating and Ventilation Engineer,46,Building Services Trades,,gap-no-direct-job-profile,WP-HVAC-007,Heating / Ventilation Defect / Parts / Exception Record,NATIVE,Operate,System|Asset|Work Order,F22|F13,F22.08|F13.05,Defect / Service Exception,Case Workspace,diagnostic|test|asset history,Repair / replacement / follow-up,"Symptoms, cause, parts and disposition",candidate-revalidation
JOB-HVAC,Heating and Ventilation Engineer,46,Building Services Trades,,gap-no-direct-job-profile,WP-HVAC-008,Heating / Ventilation Completion / Certificate / Handover,ASSISTED,Operate,Property|System|Asset|Party,F22|F26,F22.06|F26.06,Certificate / Handover Package,Assisted Report Generator,service record|tests|asset updates|open items,Client / operations / asset record,"Signer/technician, exact evidence and accepted status",candidate-revalidation
JOB-LOCK,Locksmith,54,Building Services Trades,,gap-no-direct-job-profile,WP-LOCK-001,Lock / Access Hardware Survey / Diagnostic Record,NATIVE,Operate,Property|Site|System|Asset,F22|F27,F22.06|F27.06,Survey / Diagnostic Record,Field/Mobile composition,instruction|existing asset data|site condition,Scope / design / quote,"Measurements, condition, photos and technician",candidate-revalidation
JOB-LOCK,Locksmith,54,Building Services Trades,,gap-no-direct-job-profile,WP-LOCK-002,Lock / Access Hardware Quote / Work Scope,NATIVE,Operate,Party|Property|Work Order,F07|F22,F07.04|F22.08,Quotation / Work Scope,Object Workspace,survey|rates|materials|labour,Approval / work order,"Scope, assumptions, price and validity",candidate-revalidation
