job_execution_contract_id,job_profile_id,canonical_name,delivery_domain_id,participating_function_codes_candidate,lifecycle_stages,specialist_capabilities,primary_structured_records,current_market_work_pattern,nublox_native_requirement,employment_position_rule,deployment_purpose_rule,native_engine_composition_state,canonical_object_mapping_state,work_product_mapping_state,workspace_acceptance_state,effective_date
ERP-CBE-JP-024,CBE-JP-024,Construction manager,D06,F09;F10;F12;F13;F23;F26;F27,Pre-construction; Construction; Handover,Programme; packages; coordination; site diary; labour; plant; quality; safety; progress,Programme; diaries; RFIs; reports; inspections; progress records,"Perform Programme; packages; coordination; site diary; labour; plant; quality; safety; progress using specialist authoring, calculation, field or business systems; create and exchange Programme; diaries; RFIs; reports; inspections; progress records.","Provide native job workspace for Programme; packages; coordination; site diary; labour; plant; quality; safety; progress; create/control Programme; diaries; RFIs; reports; inspections; progress records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-025,CBE-JP-025,Construction plant mechanic,D11,F09;F10;F11;F12;F13;F22;F23;F26;F27,Construction; Maintenance,Asset register; servicing; defects; inspections; parts; breakdowns,Asset records; service history; defect reports; work orders,"Perform Asset register; servicing; defects; inspections; parts; breakdowns using specialist authoring, calculation, field or business systems; create and exchange Asset records; service history; defect reports; work orders.","Provide native job workspace for Asset register; servicing; defects; inspections; parts; breakdowns; create/control Asset records; service history; defect reports; work orders as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-026,CBE-JP-026,Construction plant operator,D11,F09;F10;F11;F12;F13;F22;F23;F26;F27,Construction,Plant allocation; pre-use checks; hours; tasks; defects; competencies,Plant checks; utilisation; task logs; defect records,"Perform Plant allocation; pre-use checks; hours; tasks; defects; competencies using specialist authoring, calculation, field or business systems; create and exchange Plant checks; utilisation; task logs; defect records.","Provide native job workspace for Plant allocation; pre-use checks; hours; tasks; defects; competencies; create/control Plant checks; utilisation; task logs; defect records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-027,CBE-JP-027,Construction site supervisor,D06,F09;F10;F12;F13;F23;F26;F27,Construction,Daily supervision; labour; inspections; permits; quality; progress; safety,Site diary; inspections; permits; progress records,"Perform Daily supervision; labour; inspections; permits; quality; progress; safety using specialist authoring, calculation, field or business systems; create and exchange Site diary; inspections; permits; progress records.","Provide native job workspace for Daily supervision; labour; inspections; permits; quality; progress; safety; create/control Site diary; inspections; permits; progress records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-028,CBE-JP-028,Crane driver,D11,F09;F10;F11;F12;F13;F22;F23;F26;F27,Construction,Lift allocation; pre-use checks; plant hours; competency; lift records; defects,Checks; lift logs; utilisation; defect records,"Perform Lift allocation; pre-use checks; plant hours; competency; lift records; defects using specialist authoring, calculation, field or business systems; create and exchange Checks; lift logs; utilisation; defect records.","Provide native job workspace for Lift allocation; pre-use checks; plant hours; competency; lift records; defects; create/control Checks; lift logs; utilisation; defect records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-029,CBE-JP-029,Demolition operative,D06,F09;F10;F12;F13;F23;F26;F27,Enabling; Demolition,Method/task planning; permits; hazardous materials records; waste; progress,RAMS references; permits; waste records; photos; task logs,"Perform Method/task planning; permits; hazardous materials records; waste; progress using specialist authoring, calculation, field or business systems; create and exchange RAMS references; permits; waste records; photos; task logs.","Provide native job workspace for Method/task planning; permits; hazardous materials records; waste; progress; create/control RAMS references; permits; waste records; photos; task logs as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-030,CBE-JP-030,Domestic energy assessor,D09,F05;F12;F13;F22;F23;F26;F27,Survey; Assessment; Certification,Dwelling data capture; energy assessment; evidence; certificate workflow,Assessment records; evidence; EPC-related outputs,"Perform Dwelling data capture; energy assessment; evidence; certificate workflow using specialist authoring, calculation, field or business systems; create and exchange Assessment records; evidence; EPC-related outputs.","Provide native job workspace for Dwelling data capture; energy assessment; evidence; certificate workflow; create/control Assessment records; evidence; EPC-related outputs as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-031,CBE-JP-031,Dryliner,D07,F09;F10;F12;F13;F23;F26;F27,Fit-out,Take-off; layout; installation; materials; progress; defects,Work orders; material usage; photos; snagging,"Perform Take-off; layout; installation; materials; progress; defects using specialist authoring, calculation, field or business systems; create and exchange Work orders; material usage; photos; snagging.","Provide native job workspace for Take-off; layout; installation; materials; progress; defects; create/control Work orders; material usage; photos; snagging as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-032,CBE-JP-032,Electrician,D08,F09;F10;F12;F13;F22;F23;F26;F27,Design support; Installation; Testing; Maintenance,Survey; estimate; schedule; installation; circuits; testing; defects; certification; maintenance,Quotes; job sheets; circuit/test records; certificates; invoices,"Perform Survey; estimate; schedule; installation; circuits; testing; defects; certification; maintenance using specialist authoring, calculation, field or business systems; create and exchange Quotes; job sheets; circuit/test records; certificates; invoices.","Provide native job workspace for Survey; estimate; schedule; installation; circuits; testing; defects; certification; maintenance; create/control Quotes; job sheets; circuit/test records; certificates; invoices as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-033,CBE-JP-033,Engineering construction technician,D02,F05;F13;F19;F23;F26;F27,Design; Installation; Commissioning,Technical support; installation records; commissioning/decommissioning support; drawings,Drawings; technical records; test sheets; schedules,"Perform Technical support; installation records; commissioning/decommissioning support; drawings using specialist authoring, calculation, field or business systems; create and exchange Drawings; technical records; test sheets; schedules.","Provide native job workspace for Technical support; installation records; commissioning/decommissioning support; drawings; create/control Drawings; technical records; test sheets; schedules as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-034,CBE-JP-034,Estimator,D04,F07;F09;F14;F19;F20;F26;F27,Pre-contract,Take-off; resource build-ups; supplier enquiries; estimates; tender submissions; revisions,Estimates; take-offs; RFQs; tender returns; bid documents,"Perform Take-off; resource build-ups; supplier enquiries; estimates; tender submissions; revisions using specialist authoring, calculation, field or business systems; create and exchange Estimates; take-offs; RFQs; tender returns; bid documents.","Provide native job workspace for Take-off; resource build-ups; supplier enquiries; estimates; tender submissions; revisions; create/control Estimates; take-offs; RFQs; tender returns; bid documents as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-035,CBE-JP-035,Facilities manager,D10,F08;F09;F12;F13;F14;F22;F23;F26;F27,Operations,Property/asset register; PPM; reactive maintenance; compliance; contractors; SLAs; budgets,Assets; work orders; service records; inspections; compliance evidence,"Perform Property/asset register; PPM; reactive maintenance; compliance; contractors; SLAs; budgets using specialist authoring, calculation, field or business systems; create and exchange Assets; work orders; service records; inspections; compliance evidence.","Provide native job workspace for Property/asset register; PPM; reactive maintenance; compliance; contractors; SLAs; budgets; create/control Assets; work orders; service records; inspections; compliance evidence as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-036,CBE-JP-036,Fence installer,D07,F09;F10;F12;F13;F23;F26;F27,Construction / External works,Survey; estimate; set-out; installation; materials; completion,Quotes; work orders; material usage; photos,"Perform Survey; estimate; set-out; installation; materials; completion using specialist authoring, calculation, field or business systems; create and exchange Quotes; work orders; material usage; photos.","Provide native job workspace for Survey; estimate; set-out; installation; materials; completion; create/control Quotes; work orders; material usage; photos as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-037,CBE-JP-037,Fire safety engineer,D02,F05;F13;F19;F23;F26;F27,Design; Construction; Operations,Fire strategy; modelling; design review; compliance evidence; inspections,Fire strategies; calculations; reports; design comments,"Perform Fire strategy; modelling; design review; compliance evidence; inspections using specialist authoring, calculation, field or business systems; create and exchange Fire strategies; calculations; reports; design comments.","Provide native job workspace for Fire strategy; modelling; design review; compliance evidence; inspections; create/control Fire strategies; calculations; reports; design comments as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-038,CBE-JP-038,Formworker,D07,F09;F10;F12;F13;F23;F26;F27,Structural construction,Formwork planning; drawings; material/plant requirements; installation; striking; checks,Work orders; checklists; material records; photos,"Perform Formwork planning; drawings; material/plant requirements; installation; striking; checks using specialist authoring, calculation, field or business systems; create and exchange Work orders; checklists; material records; photos.","Provide native job workspace for Formwork planning; drawings; material/plant requirements; installation; striking; checks; create/control Work orders; checklists; material records; photos as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-039,CBE-JP-039,Furniture maker,D14,F07;F09;F10;F11;F13;F14;F26;F27,Manufacture; Supply,Design; BOM; production; stock; quality; orders; delivery,Drawings; BOMs; work orders; QC records; sales orders,"Perform Design; BOM; production; stock; quality; orders; delivery using specialist authoring, calculation, field or business systems; create and exchange Drawings; BOMs; work orders; QC records; sales orders.","Provide native job workspace for Design; BOM; production; stock; quality; orders; delivery; create/control Drawings; BOMs; work orders; QC records; sales orders as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-040,CBE-JP-040,Gas mains layer,D12,F09;F10;F12;F13;F22;F23;F26;F27,Infrastructure construction; Maintenance,Work orders; excavation/laying records; materials; pressure/test records; reinstatement; asset location,Job packs; network records; test results; as-builts,"Perform Work orders; excavation/laying records; materials; pressure/test records; reinstatement; asset location using specialist authoring, calculation, field or business systems; create and exchange Job packs; network records; test results; as-builts.","Provide native job workspace for Work orders; excavation/laying records; materials; pressure/test records; reinstatement; asset location; create/control Job packs; network records; test results; as-builts as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-041,CBE-JP-041,Gas service technician,D08,F09;F10;F12;F13;F22;F23;F26;F27,Installation; Maintenance,Jobs; appliances; service schedules; tests; defects; parts; certification,Job sheets; appliance records; test results; service records,"Perform Jobs; appliances; service schedules; tests; defects; parts; certification using specialist authoring, calculation, field or business systems; create and exchange Job sheets; appliance records; test results; service records.","Provide native job workspace for Jobs; appliances; service schedules; tests; defects; parts; certification; create/control Job sheets; appliance records; test results; service records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-042,CBE-JP-042,General practice surveyor,D03,F05;F07;F14;F19;F22;F26;F27,Acquisition; Development; Operations,Property records; valuations; transactions; leases; development appraisal; client advice,Valuations; property records; instructions; reports,"Perform Property records; valuations; transactions; leases; development appraisal; client advice using specialist authoring, calculation, field or business systems; create and exchange Valuations; property records; instructions; reports.","Provide native job workspace for Property records; valuations; transactions; leases; development appraisal; client advice; create/control Valuations; property records; instructions; reports as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-043,CBE-JP-043,Geospatial technician,D05,F05;F17;F19;F22;F26;F27,Survey; Planning; Construction,Data capture; GIS layers; coordinate/reference management; mapping; exports,Spatial datasets; maps; metadata,"Perform Data capture; GIS layers; coordinate/reference management; mapping; exports using specialist authoring, calculation, field or business systems; create and exchange Spatial datasets; maps; metadata.","Provide native job workspace for Data capture; GIS layers; coordinate/reference management; mapping; exports; create/control Spatial datasets; maps; metadata as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-044,CBE-JP-044,Glazier,D07,F09;F10;F12;F13;F23;F26;F27,Fit-out; Maintenance,Measure; quote; product/order; installation; repair; completion,Measurements; quotes; work orders; product records; photos,"Perform Measure; quote; product/order; installation; repair; completion using specialist authoring, calculation, field or business systems; create and exchange Measurements; quotes; work orders; product records; photos.","Provide native job workspace for Measure; quote; product/order; installation; repair; completion; create/control Measurements; quotes; work orders; product records; photos as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-045,CBE-JP-045,Heat pump engineer,D08,F09;F10;F12;F13;F22;F23;F26;F27,Retrofit/Installation; Maintenance,Survey; sizing; estimate; installation; commissioning; servicing; evidence,Survey; calculations; job sheets; commissioning/test records,"Perform Survey; sizing; estimate; installation; commissioning; servicing; evidence using specialist authoring, calculation, field or business systems; create and exchange Survey; calculations; job sheets; commissioning/test records.","Provide native job workspace for Survey; sizing; estimate; installation; commissioning; servicing; evidence; create/control Survey; calculations; job sheets; commissioning/test records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-046,CBE-JP-046,Heating and ventilation engineer,D08,F09;F10;F12;F13;F22;F23;F26;F27,Installation; Commissioning; Maintenance,Survey; design support; installation; commissioning; service; defects,Job sheets; equipment records; test/commissioning sheets,"Perform Survey; design support; installation; commissioning; service; defects using specialist authoring, calculation, field or business systems; create and exchange Job sheets; equipment records; test/commissioning sheets.","Provide native job workspace for Survey; design support; installation; commissioning; service; defects; create/control Job sheets; equipment records; test/commissioning sheets as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
